id,course_id,quarter,start_date,end_date,start_time,end_time,monday,tuesday,wednesday,thursday,friday,location,primary_instructor,instructors
e1b31ad5-7218-445f-9681-ea04d2dfca24,105675,Autumn,"Sep 26, 2022","Dec 9, 2022",4:30:00 PM,5:50:00 PM,False,True,False,True,False,NVIDIA Auditorium,shiva,"['shiva', 'zhouc', 'tinally', 'jahchuen', 'deveshi', 'vmohanty', 'abadrina', 'kexuzhou', 'srnangi', 'amkansal', 'aman0456', 'alirehan', 'tolu316', 'sharonal', 'jinang', 'abhinavg']"
1244232c-0a1f-49da-b3ef-d05cb67d3c48,105676,Autumn,"Sep 26, 2022","Dec 9, 2022",1:30:00 PM,3:20:00 PM,True,False,True,False,False,Bishop Auditorium,landay,"['landay', 'jiannaso', 'msrikant', 'navaha', 'kaitlee', 'mcxu2000', 'aknair', 'ejyang']"
b51f1eaa-3275-4242-94c3-b07e79d7a5e3,105678,Autumn,"Sep 26, 2022","Dec 9, 2022",12:00:00 PM,1:20:00 PM,False,True,False,True,False,NVIDIA Auditorium,rfedkiw,"['sjobalia', 'allielit', 'kevli016', 'demiguo', 'domens', 'lzhu21', 'dcruz21', 'selinons', 'jiwonlee', 'vinitac', 'frankim', 'natashao', 'nikesh01', 'awang23', 'yilinwu', 'maxfit', 'makintan', 'rqwang', 'yurensun', 'khsu18', 'rfedkiw']"
93535b36-fb11-4254-aba3-6a8fd33636be,105678,Summer,"Jun 26, 2023","Aug 17, 2023",12:00:00 PM,1:15:00 PM,False,True,False,True,False,Gates B1,kevli016,"['sjobalia', 'kevli016']"
c86896c5-2495-4a77-a95f-9e2212946f76,105679,Autumn,"Sep 26, 2022","Dec 9, 2022",10:30:00 AM,11:50:00 AM,False,True,False,True,False,NVIDIA Auditorium,kunle,"['kayvonf', 'setaluri', 'jamesh93', 'swads', 'ardenma', 'keshav2', 'pranil', 'edhschen', 'kunle']"
d20bfbc2-c3a6-43ba-9ce6-d02fcf741688,220570,Spring,"Apr 3, 2023","Jun 7, 2023",1:30:00 PM,2:50:00 PM,False,True,False,True,False,370-370,gullible,"['mirandan', 'jackylin', 'pjames27', 'atandel', 'nguyenjd', 'gullible']"
0a30a0e2-75db-423d-8ead-92ed4eaf49cf,221630,Spring,"Apr 3, 2023","Jun 7, 2023",3:00:00 PM,4:20:00 PM,True,False,True,False,False,Skilling Auditorium,stamos,"['hylee719', 'jkadie', 'hannayip', 'absibabs', 'akdash', 'stamos']"
0880eb16-8c22-4796-b455-e63ef2139db0,224168,Winter,"Jan 9, 2023","Mar 17, 2023",11:30:00 AM,1:20:00 PM,False,False,False,True,False,380-380C,abbottm,"['abbottm', 'makintan']"
7564f9b0-a291-41a9-9799-9b5a5a5e2c7e,105682,Autumn,"Sep 26, 2022","Dec 9, 2022",10:30:00 AM,11:50:00 AM,False,True,False,True,False,Skilling Auditorium,omreing,"['omreing', 'arthurlh', 'callumb', 'fgodoy', 'zidi', 'saumg']"
e8a82948-48ff-4cb1-b8dd-4cac1984f299,201639,Spring,"Apr 3, 2023","Jun 7, 2023",1:30:00 PM,2:50:00 PM,True,False,True,False,False,Gates B1,zakird,"['rharris3', 'hosono', 'rcowen', 'brianamb', 'lkmsf', 'akram', 'amohamdy', 'stao18', 'dabo', 'zakird']"
