"id","course_id","quarter","start_time","end_time","monday","tuesday","wednesday","thursday","friday","location","primary_instructor_id","primary_instructor_name","instructors"
"a4b710e5-6e92-4b5d-a93d-188a7bfbaee6","218659","fall","3:00:00 PM","4:20:00 PM","True","False","True","False","False","Y2E2 105","fringer","Oliver Fringer","[""fringer"", ""dtmorimo""]"
"51f7e80f-f19b-49a0-89c7-51464c2f6be1","223580","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","300-300","pcm1","Paul McIntyre","[""pcm1""]"
"fe5251c8-7344-4eb2-b6f1-6eafb1acab79","222860","winter","1:30:00 PM","2:20:00 PM","True","False","True","False","True","NVIDIA Auditorium","troccoli","Nick Troccoli","[""troccoli"", ""ygovil"", ""ardenma"", ""swayamp"", ""jdkula"", ""nikhilvr"", ""tankevin"", ""brianamb"", ""sumerk"", ""dgarcia6"", ""xyz99"", ""anjalirg"", ""saumg"", ""gorelik"", ""marchini""]"
"9893ecfb-6ee4-4e82-a5eb-0f08420fede2","104573","spring","3:00:00 PM","4:20:00 PM","False","True","False","True","False","Skilling Auditorium","etse","Edison Tse","[""juliadi"", ""fluidivy"", ""tomasms"", ""etse""]"
"01abcec6-4a8f-4d13-817d-b38c2fca3e60","205497","spring","5:30:00 PM","8:20:00 PM","False","False","True","False","False","McMurtry Art Building Oshman","ushaiyer","Usha Iyer","[""dholton"", ""jmakary"", ""ushaiyer""]"
"8fae7505-9b97-4dcb-a502-20b6ec8c7a47","219368","winter","11:30:00 AM","12:20:00 PM","True","False","True","False","True","STLC 115","dpetrov","Dmitri Petrov","[""qlangdon"", ""schumer"", ""dpetrov""]"
"7407293d-f2e8-4304-8c8d-2c9fde687495","218103","spring","10:30:00 AM","11:50:00 AM","False","True","False","True","False","Econ 139","ibarrac","Clare Ibarra","[""ibarrac"", ""mcalvob""]"
"bb0704fb-32a1-4353-b303-551e1d424954","219636","winter","6:30:00 PM","9:20:00 PM","False","False","True","False","False","McMurtry Art Building Oshman","plevi","Pavle Levi","[""plevi"", ""hchchoi"", ""aadams00""]"
"570010a4-6762-4d62-9d8c-f61bb23bb23f","207645","winter","1:30:00 PM","2:50:00 PM","False","True","False","True","False","Lathrop 180","jialu512","Jialu Streeter","[""jialu512""]"
"bdf58559-6eb6-4d2e-b5ad-bbaa61b9a3a0","217008","fall","3:00:00 PM","4:20:00 PM","True","False","True","False","False","200-030","marcias","Marcia Stefanick","[""marcias""]"
"cfc11ef2-248d-4794-b6de-1cd8c9ff6e50","222154","spring","12:00:00 PM","1:20:00 PM","False","True","False","True","False","STLC 111","aozgur","Ayfer Ozgur","[""surinahn"", ""zshah9"", ""nsmarks"", ""wnchen"", ""aozgur""]"
"0c88dc49-f708-4405-bbf0-1f3cc9e6756d","216015","fall","10:30:00 AM","11:50:00 AM","False","True","False","True","False","320-109","lmk","Lianne Kurina","[""lmk""]"
"be2352ff-d504-4cda-ad51-b738611607cd","141029","spring","3:15:00 PM","4:45:00 PM","False","True","False","True","False","School of Medicine Room","rbaltman","Russ Altman","[""rbaltman"", ""cyyeh""]"
"b8df5ab4-a963-423d-a5fb-79b993da5557","122731","spring","9:30:00 AM","11:20:00 AM","True","False","True","False","True","Hewlett Teaching Center Rm 101","rdb3","Roger Blandford","[""rdb3"", ""ags2198""]"
"57511938-5ac8-4af5-b8b5-4d1f1644d871","210527","spring","3:00:00 PM","4:20:00 PM","False","False","True","False","True","530-127","mchanish","Anish Mokkarala","[""mitiguy"", ""rthom"", ""mchanish""]"
"1d110f3d-5172-4ea2-af8f-46bd8b084b1b","214905","fall","1:30:00 PM","2:50:00 PM","False","True","False","True","False","McMurtry Art Building Oshman","agaidon","Adrien Gaidon","[""jniebles"", ""amoore5"", ""nguyenjd"", ""anoosh22"", ""aroram8"", ""zhuoyih"", ""anshk"", ""agaidon""]"
"dd996d66-ffc1-43b3-bdb5-7dac2e96f435","215181","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","Lathrop 282","lmk","Lianne Kurina","[""lmk"", ""willtarv"", ""madmcgl""]"
"1cc7cb4c-9a9d-46db-9197-411ef539d561","117346","fall","10:30:00 AM","11:50:00 AM","False","True","False","True","False","380-380D","sommer","Rick Sommer","[""canvasl"", ""sommer""]"
"d9aa6af9-5431-4700-96ce-d8c914d4cf99","111591","winter","10:30:00 AM","11:20:00 AM","True","True","True","True","False","320-105","lcbaker","Laurence Baker","[""asalmeen"", ""jnation"", ""hamusa01"", ""cnjupe"", ""clemberg"", ""bejansen"", ""lcbaker""]"
"7df21502-4548-4eb4-8573-b7565dd64cbc","205216","winter","12:00:00 PM","1:20:00 PM","False","True","False","True","False","Huang Engineering Center 18","ardunn","Alexander Dunn","[""ardunn"", ""sinawang"", ""alee0926""]"
"27f4467d-959e-4aec-878f-6ed25ab02c72","210459","winter","1:30:00 PM","2:20:00 PM","True","False","False","False","True","200-203","earlew","Earle Wilson","[""leift"", ""hilditch"", ""qrlong"", ""earlew""]"
"4a26250d-75e7-4094-bdee-5b6fe0abf7a2","220685","winter","4:30:00 PM","7:20:00 PM","True","False","False","False","False","GSB Gunn 101","jack2","Jack Fuchs","[""jack2"", ""vshanker"", ""hszybunk"", ""peytavin"", ""ajstorch"", ""gnoziere""]"
"25d79097-87e6-42c6-b0cd-4384f659b743","224493","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","False","Hewlett Teaching Center 103","skotheim","Jan Skotheim","[""skotheim""]"
"ec955949-794a-4d08-a7f2-88a55540a8fe","202697","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","False","60-109","subh","Subhasish Mitra","[""subh"", ""jandraka"", ""laragon2"", ""lyciat""]"
"5d4818af-84e3-4f25-bc28-aa1db419f79e","210006","winter","5:30:00 PM","6:20:00 PM","True","False","True","False","False","Huang Engineering Center 18","ejma","Emily Ma","[""ravib"", ""agarwald"", ""clairero"", ""ejma""]"
"b0fe8775-fdd1-4a4f-8c54-ac86683e63ae","224511","spring","1:30:00 PM","2:20:00 PM","True","False","True","False","True","Encina West 101","chaoma","Chao Ma","[""chaoma""]"
"c38c91ad-0331-4079-a63a-f1efdf43b587","104296","spring","12:00:00 PM","1:20:00 PM","False","True","False","True","False","Skilling Auditorium","aemami","Abbas Emami-Naeini","[""aemami"", ""adurv""]"
"c991d4db-f958-4921-9981-5065c27873b4","224499","fall","10:30:00 AM","11:50:00 AM","False","True","False","True","False","STLC 104","mmayalu","Michaelle Mayalu","[""mmayalu"", ""dvacek""]"
"7ce132e7-1d46-4aa2-8658-9d1f8540374f","202088","spring","9:30:00 AM","10:20:00 AM","True","False","True","False","True","Y2E2 111","dfong","Derek Fong","[""dfong"", ""bpauken"", ""aviralag""]"
"d0212fcb-98b2-43d5-b167-b256a209e88d","113410","winter","9:30:00 AM","11:20:00 AM","True","False","True","False","False","Econ 140","klenow","Pete Klenow","[""piazzesi"", ""klenow""]"
"4d7bddb7-7a5f-4ede-b866-2f3e5b38f8a6","117227","fall","10:30:00 AM","11:20:00 AM","True","False","True","False","True","380-380W","swf12","Weifeng Sun","[""swf12"", ""songyf"", ""jiyunp"", ""luccabp"", ""hmblair"", ""lernik""]"
"8bb70f1f-ebc8-4a7d-8dc1-b9051b90d377","224062","spring","9:30:00 AM","11:20:00 AM","True","False","False","False","False","300-303","golde","Chris Golde","[""golde""]"
"60b67f3c-7211-46f6-8b5e-fea615a06d8d","216822","fall","1:30:00 PM","2:50:00 PM","False","True","False","True","False","Huang Engineering Center 18","murmann","Boris Murmann","[""murmann"", ""lsammaro""]"
"56a04148-342f-420d-835c-bb160219c27a","105676","fall","1:30:00 PM","3:20:00 PM","True","False","True","False","False","Bishop Auditorium","landay","James Landay","[""landay"", ""jiannaso"", ""msrikant"", ""navaha"", ""kaitlee"", ""mcxu2000"", ""aknair"", ""ejyang""]"
"e8ddcc56-06fd-4071-bc0d-7ade074d0871","222846","winter","11:30:00 AM","12:50:00 PM","True","False","True","False","False","McMurtry Art Building 360","hwon","Hae-Joon Won","[""crfsoler"", ""hwon""]"
"53a2bffe-126c-4602-a068-c24c7f2b284e","115192","spring","1:30:00 PM","2:50:00 PM","False","True","False","True","False","200-034","pedror","Pedro Regalado","[""benhalom"", ""miripowe"", ""pedror""]"
"999ac2e7-26c4-453a-883b-42e08438aea4","122242","fall","3:00:00 PM","4:20:00 PM","True","False","True","False","False","370-370","declan","Declan Thompson","[""bassett"", ""bsparkes"", ""declan"", ""stilto01"", ""kemmann""]"
"77f286b5-fc89-48aa-b877-9be985bf9d92","222658","spring","9:00:00 AM","10:20:00 AM","False","True","False","True","False","Y2E2 292A","cbrosque","Cynthia Brosque","[""cbrosque""]"
"4ada796a-cb31-45ce-aab3-b557bf32c372","122617","fall","10:30:00 AM","11:50:00 AM","True","False","True","False","True","Lathrop 282","enanni","Emilio Nanni","[""pwgraham"", ""enanni"", ""ctaitz""]"
"0f540632-0973-4f37-a612-ad60e7c637cf","221829","winter","12:00:00 PM","1:20:00 PM","False","True","False","True","False","300-300","salkin","Wendy Salkin","[""salkin"", ""jndavis"", ""sjbrophy"", ""tladendo"", ""grantray""]"
